"DaysSince";"NumberOfRooms";"Address";"GlobalId";"Price";"AgentId";"AgentName";"MobileURL";"PlotArea";"Postcode";"Products";"URL";"SalesStatus";"WGS84_X";"WGS84_Y";"LivingArea";"City";"PropertyType"
5 maanden;3;Leusdenhof 77;3714528;179500;60709;MakelaarsOffice;http://m.funda.nl/obj.aspx?goi=3714528;NA;1108CW;list();http://www.funda.nl/koop/amsterdam/appartement-85523527-leusdenhof-77/;StatusBeschikbaar;4.978704;52.30907;69;Amsterdam;appartement
6+ maanden;4;Nassaukade 354;3650967;450000;60547;Mendes Makelaardij;http://m.funda.nl/obj.aspx?goi=3650967;NA;1053LZ;list();http://www.funda.nl/koop/amsterdam/appartement-85469966-nassaukade-354/;StatusBeschikbaar;4.876744;52.36695;65;Amsterdam;appartement
5 maanden;6;Narva Eiland West (Bouwnr. 71);3694661;753919;24605;Hallie & Van Klooster Makelaardij;http://m.funda.nl/obj.aspx?goi=3694661;NA;1013;Brochure;http://www.funda.nl/koop/amsterdam/huis-49049024-narva-eiland-west-bouwnr-71/;StatusBeschikbaar;4.894955;52.38232;142;Amsterdam;woonhuis
5 maanden;5;Narva Eiland West (Bouwnr. 73);3694655;679718;24605;Hallie & Van Klooster Makelaardij;http://m.funda.nl/obj.aspx?goi=3694655;NA;1013;Brochure;http://www.funda.nl/koop/amsterdam/huis-49049018-narva-eiland-west-bouwnr-73/;StatusBeschikbaar;4.894955;52.38232;168;Amsterdam;woonhuis
6+ maanden;5;Raasdorperweg 80;3048580;NA;7108;WLTM;http://m.funda.nl/obj.aspx?goi=3048580;9920;1067TL;Brochure;http://www.funda.nl/koop/amsterdam/huis-49493943-raasdorperweg-80/;StatusBeschikbaar;4.760926;52.3731;133;Amsterdam;woonhuis
6+ maanden;2;Van Nijenrodeweg 364;3584775;185000;12066;Van Overbeek Makelaars o.g. Purmerend BV;http://m.funda.nl/obj.aspx?goi=3584775;NA;1082HE;list();http://www.funda.nl/koop/amsterdam/appartement-49939138-van-nijenrodeweg-364/;StatusBeschikbaar;4.877532;52.32753;35;Amsterdam;appartement
6+ maanden;2;Sumatrastraat 72 -G;3569784;195000;24660;THIE Makelaars;http://m.funda.nl/obj.aspx?goi=3569784;NA;1094NH;list();http://www.funda.nl/koop/amsterdam/appartement-49914147-sumatrastraat-72-g/;StatusBeschikbaar;4.935871;52.36234;30;Amsterdam;appartement
8 weken;3;Pontsteiger 147;3839996;775000;24065;Carla van den Brink B.V.;http://m.funda.nl/obj.aspx?goi=3839996;NA;1014ZP;Brochure;http://www.funda.nl/koop/amsterdam/appartement-49284359-pontsteiger-147/;StatusBeschikbaar;4.885616;52.39338;92;Amsterdam;appartement
8 weken;3;Pontsteiger 129;3839994;1500000;24065;Carla van den Brink B.V.;http://m.funda.nl/obj.aspx?goi=3839994;NA;1014ZP;Brochure;http://www.funda.nl/koop/amsterdam/appartement-49284357-pontsteiger-129/;StatusBeschikbaar;4.885681;52.39341;181;Amsterdam;appartement
8 weken;3;Pontsteiger 119;3839991;1490000;24065;Carla van den Brink B.V.;http://m.funda.nl/obj.aspx?goi=3839991;NA;1014ZP;Brochure;http://www.funda.nl/koop/amsterdam/appartement-49284354-pontsteiger-119/;StatusBeschikbaar;4.885716;52.39342;181;Amsterdam;appartement
2 maanden;4;Baron G.A. Tindalplein 6;3813714;425000;12299;Kolt Makelaardij;http://m.funda.nl/obj.aspx?goi=3813714;88;1019TJ;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49268177-baron-ga-tindalplein-6/;Verkocht onder voorbehoud;4.943;52.37299;88;Amsterdam;woonhuis
2 maanden;5;Buiksloterdijk 424;3811469;689000;24701;AVT Makelaars B.V.;http://m.funda.nl/obj.aspx?goi=3811469;291;1034ZJ;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/huis-49266822-buiksloterdijk-424/;Verkocht onder voorbehoud;4.915228;52.40114;116;Amsterdam;woonhuis
29 juli 2017;3;Ceintuurbaan 360 II;3892216;4e+05;24690;Puur Makelaars Amsterdam - Zuid;http://m.funda.nl/obj.aspx?goi=3892216;NA;1073EL;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49247679-ceintuurbaan-360-ii/;OnderBod;4.899582;52.35413;60;Amsterdam;appartement
29 juli 2017;2;Eerste Oosterparkstraat 3 I;3891089;275000;24690;Puur Makelaars Amsterdam - Zuid;http://m.funda.nl/obj.aspx?goi=3891089;NA;1091GT;c("Video", "Plattegrond", "360-fotos");http://www.funda.nl/koop/amsterdam/appartement-49246442-eerste-oosterparkstraat-3-i/;Verkocht onder voorbehoud;4.907734;52.35573;48;Amsterdam;appartement
2 weken;3;Valentijnkade 46 I;3889767;250000;24633;Gaikhorst Makelaars;http://m.funda.nl/obj.aspx?goi=3889767;NA;1095JJ;c("Video", "Plattegrond", "360-fotos", "Brochure");http://www.funda.nl/koop/amsterdam/appartement-49234120-valentijnkade-46-i/;Verkocht onder voorbehoud;4.942119;52.35865;51;Amsterdam;appartement
3 weken;3;Jacob Catskade 35 II C;3882680;425000;12299;Kolt Makelaardij;http://m.funda.nl/obj.aspx?goi=3882680;NA;1052BT;c("Video", "Plattegrond", "360-fotos", "Brochure", "Featured", "Toppositie");http://www.funda.nl/koop/amsterdam/appartement-49237043-jacob-catskade-35-ii-c/;Verkocht onder voorbehoud;4.877431;52.38107;73;Amsterdam;appartement
